num1,num2,string,boolean
1,1,Alpha,false
2,2,Latlux,true
3,3,Sub-Ex,false
4,4,Cookley,true
5,5,Voyatouch,false
6,6,Voyatouch,true
7,7,Tampflex,false
8,8,Y-find,false
9,9,Subin,false
10,10,Alpha,false
11,11,Zaam-Dox,false
12,12,Bitwolf,true
13,13,Greenlam,false
14,14,Tempsoft,false
15,15,Quo Lux,true
16,16,Mat Lam Tam,false
17,17,Cardify,false
18,18,Pannier,true
19,19,Fix San,false
20,20,Regrant,false
21,21,Alpha,true
22,22,Prodder,true
23,23,Domainer,false
24,24,Overhold,false
25,25,Konklab,true
26,26,Trippledex,true
27,27,Zathin,false
28,28,Aerified,false
29,29,Bigtax,false
30,30,Fix San,true
31,31,It,false
32,32,Pannier,true
33,33,Bigtax,true
34,34,Ronstring,false
35,35,Flexidy,true
36,36,Solarbreeze,false
37,37,Fintone,false
38,38,Zontrax,true
39,39,Sonsing,false
40,40,Trippledex,false
41,41,Cardify,true
42,42,Cardguard,false
43,43,Zontrax,true
44,44,Zamit,true
45,45,Solarbreeze,true
46,46,Zathin,true
47,47,Y-Solowarm,true
48,48,Temp,true
49,49,Zamit,true
50,50,Biodex,false
51,51,Kanlam,false
52,52,Regrant,false
53,53,Span,true
54,54,Stim,true
55,55,Solarbreeze,false
56,56,Zaam-Dox,true
57,57,Alphazap,true
58,58,Y-find,false
59,59,Y-Solowarm,false
60,60,Stringtough,false
61,61,It,true
62,62,Fintone,true
63,63,Fixflex,true
64,64,Regrant,false
65,65,Flexidy,false
66,66,Regrant,false
67,67,Zontrax,true
68,68,Fixflex,false
69,69,Hatity,false
70,70,Keylex,false
71,71,Job,false
72,72,Regrant,false
73,73,Domainer,true
74,74,Solarbreeze,false
75,75,Viva,true
76,76,Ventosanzap,false
77,77,Bytecard,false
78,78,Vagram,true
79,79,Gembucket,true
80,80,Kanlam,true
81,81,Veribet,false
82,82,Y-Solowarm,false
83,83,Bitwolf,false
84,84,Y-find,true
85,85,Mat Lam Tam,false
86,86,Bitwolf,true
87,87,Voyatouch,true
88,88,Treeflex,false
89,89,Lotstring,true
90,90,Solarbreeze,true
91,91,Bytecard,true
92,92,Viva,false
93,93,Vagram,false
94,94,Vagram,true
95,95,Flowdesk,false
96,96,Sonsing,true
97,97,Redhold,true
98,98,Treeflex,true
99,99,Vagram,true
100,100,Hatity,false
